latitude,longitude,side_b
22.000000,98.000000,KNU
16.541082,98.529827,KNU
17.104045,98.311469,KNU
17.104045,98.311469,KNU
16.686389,98.506111,KNU
16.580351,98.579189,KNU
16.686389,98.506111,KNU
16.686389,98.506111,KNU
16.580351,98.579189,KNU
16.580351,98.579189,KNU
16.686389,98.506111,KNU
16.796917,98.515339,KNU
16.741246,98.460744,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
17.836972,97.678028,KNU
16.580351,98.579189,KNU
16.798450,96.150408,KNU
16.796917,98.515339,KNU
16.686389,98.506111,KNU
14.705158,98.331783,KNU
17.700000,97.700000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
16.692983,98.401939,KNU
16.686389,98.506111,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
16.741246,98.460744,KNU
16.796917,98.515339,KNU
22.000000,98.000000,KNU
17.836972,97.678028,KNU
17.836972,97.678028,KNU
17.132500,97.274696,KNU
16.686389,98.506111,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.836972,97.678028,KNU
17.836972,97.678028,KNU
16.554022,98.238231,KNU
17.836972,97.678028,KNU
17.836972,97.678028,KNU
17.836972,97.678028,KNU
14.705158,98.331783,KNU
17.836972,97.678028,KNU
16.283333,95.400000,KNU
16.283333,95.400000,KNU
16.392764,95.153299,KNU
16.392764,95.153299,KNU
16.392764,95.153299,KNU
22.000000,98.000000,KNU
17.836972,97.678028,KNU
15.958194,98.427594,KNU
17.836972,97.678028,KNU
17.836972,97.678028,KNU
17.978815,97.735577,KNU
17.616667,97.683333,KNU
17.836972,97.678028,KNU
17.836972,97.678028,KNU
13.000000,98.750000,KNU
17.123392,96.067922,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
17.616667,97.683333,KNU
17.616667,97.683333,KNU
17.616667,97.683333,KNU
17.836972,97.678028,KNU
16.692983,98.401939,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
16.796917,98.515339,KNU
16.554022,98.238231,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
15.833678,98.244408,KNU
16.686389,98.506111,KNU
17.500000,97.750000,KNU
17.836972,97.678028,KNU
16.796917,98.515339,KNU
17.836972,97.678028,KNU
16.796917,98.515339,KNU
16.796917,98.515339,KNU
17.500000,97.750000,KNU
16.686389,98.506111,KNU
22.000000,98.000000,KNU
18.903206,93.955875,KNU
16.686389,98.506111,KNU
14.705158,98.331783,KNU
17.500000,97.750000,KNU
14.166667,98.516667,KNU
14.705158,98.331783,KNU
14.091061,98.474570,KNU
22.000000,98.000000,KNU
15.683333,97.983333,KNU
15.969094,97.730756,KNU
14.705158,98.331783,KNU
22.000000,98.000000,KNU
16.250000,97.750000,KNU
15.833678,98.244408,KNU
22.000000,98.000000,KNU
17.500000,97.750000,KNU
14.705158,98.331783,KNU
16.541082,98.529827,KNU
16.686389,98.506111,KNU
15.969094,97.730756,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
16.136536,98.361850,KNU
17.500000,97.750000,KNU
19.770278,96.156111,KNU
12.416667,99.050000,KNU
14.091061,98.474570,KNU
16.541082,98.529827,KNU
15.833678,98.244408,KNU
16.686389,98.506111,KNU
17.500000,97.750000,KNU
14.705158,98.331783,KNU
16.686389,98.506111,KNU
15.833678,98.244408,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
16.686389,98.506111,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
14.705158,98.331783,KNU
17.700000,97.700000,KNU
14.705158,98.331783,KNU
14.705158,98.331783,KNU
15.833678,98.244408,KNU
13.000000,98.750000,KNU
17.500000,97.750000,KNU
14.705158,98.331783,KNU
16.686389,98.506111,KNU
12.416667,99.050000,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
12.416667,99.050000,KNU
15.301667,98.401944,KNU
22.000000,98.000000,KNU
13.000000,98.750000,KNU
17.000000,95.000000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
14.073749,98.194231,KNU
12.416667,99.050000,KNU
12.416667,99.050000,KNU
17.500000,97.750000,KNU
18.250000,96.250000,KNU
22.000000,98.000000,KNU
18.062283,97.442981,KNU
18.933333,96.433333,KNU
22.000000,98.000000,KNU
16.282356,98.871294,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
18.933333,96.433333,KNU
22.000000,98.000000,KNU
22.000000,98.000000,KNU
17.013975,95.984406,KNU
12.416667,99.050000,KNU
18.250000,96.250000,KNU
17.951458,96.723758,KNU
19.068367,96.674947,KNU
22.000000,98.000000,KNU
17.700000,97.700000,KNU
17.500000,97.750000,KNU
14.705158,98.331783,KNU
14.705158,98.331783,KNU
22.000000,98.000000,KNU
16.282356,98.871294,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
17.500000,97.750000,KNU
22.000000,98.000000,KNU
16.416117,98.831136,KNU
16.416117,98.831136,KNU
18.885833,96.824444,KNU
18.902692,96.807614,KNU
17.500000,97.750000,KNU
16.416117,98.831136,KNU
13.000000,98.750000,KNU
20.160643,97.252818,KNU
18.250000,96.250000,KNU
17.133333,97.833333,KNU
15.301667,98.401944,KNU
18.062283,97.442981,KNU
17.500000,97.750000,KNU
16.250000,97.750000,KNU
16.360642,98.575783,KNU
17.700000,97.700000,KNU
