WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,MONTH,DAY
2021-05-15,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,208498.0,Political violence,2043,17.1075,95.1442,2021,5,15
2021-05-29,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,208498.0,Political violence,2043,17.1075,95.1442,2021,5,29
2021-06-05,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,5,15032.0,Political violence,2043,17.1075,95.1442,2021,6,5
2021-09-18,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,16793.0,Political violence,2043,17.1075,95.1442,2021,9,18
2021-10-02,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,89249.0,Political violence,2043,17.1075,95.1442,2021,10,2
2021-10-23,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,7,310335.0,Political violence,2043,17.1075,95.1442,2021,10,23
2021-11-06,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,89249.0,Political violence,2043,17.1075,95.1442,2021,11,6
2021-11-13,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,3,11,209301.0,Political violence,2043,17.1075,95.1442,2021,11,13
2021-11-20,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,62243.0,Political violence,2043,17.1075,95.1442,2021,11,20
2021-12-04,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,1,147864.0,Political violence,2043,17.1075,95.1442,2021,12,4
2021-12-11,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,2573.0,Political violence,2043,17.1075,95.1442,2021,12,11
2022-01-01,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,74073.0,Political violence,2043,17.1075,95.1442,2022,1,1
2022-01-29,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,6769.0,Political violence,2043,17.1075,95.1442,2022,1,29
2022-03-05,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,6165.0,Political violence,2043,17.1075,95.1442,2022,3,5
2022-04-02,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,38310.0,Political violence,2043,17.1075,95.1442,2022,4,2
2022-04-16,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,33642.0,Political violence,2043,17.1075,95.1442,2022,4,16
2022-05-07,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,12715.0,Political violence,2043,17.1075,95.1442,2022,5,7
2022-05-14,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,2,36105.0,Political violence,2043,17.1075,95.1442,2022,5,14
2022-05-21,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,41341.0,Political violence,2043,17.1075,95.1442,2022,5,21
2022-05-28,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,11805.0,Political violence,2043,17.1075,95.1442,2022,5,28
2022-06-04,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,2,7833.0,Political violence,2043,17.1075,95.1442,2022,6,4
2022-06-11,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,38310.0,Political violence,2043,17.1075,95.1442,2022,6,11
2022-06-25,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,2,12,21169.0,Political violence,2043,17.1075,95.1442,2022,6,25
2022-07-23,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,171249.0,Political violence,2043,17.1075,95.1442,2022,7,23
2022-10-01,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,1,92212.0,Political violence,2043,17.1075,95.1442,2022,10,1
2022-11-05,Southeast Asia,Myanmar,Ayeyarwady,Battles,Armed clash,1,0,65076.0,Political violence,2043,17.1075,95.1442,2022,11,5
